ID;Deal ID;Contract number;Contract date;Contract expiration date;Duration of the agreement;Comment on contract
_E4CHz0t;1166;Décret n° 2011-552 du 17 août 2011;2011-08-17;;25;Company states a total of 60 year lease-- 30 years, with additional 30 years renewable. The contract signed in December 2010 granted rights over 30 year period, this was reduced to 25 years renewable lease by a presidential decree in August 2011.
I8NlPIN-;1167;;2013;2043;30;
1E4C--RK;1172;;2008-07;;25;
W78SGySQ;1173;;2003;2033;30;Another data resource claims the land was acquired in 2007.
uzHrz5KB;1184;;;;20;
GxgyoXvI;1186;;;;30;
m9vQeiE_;1189;;;;45;
hlU8RYOO;1193;;;;40;
yynMRe_5;1194;;;;99;
wzAYZo0S;1196;;2007;2057;50;
f9YC1ZUg;1198;;;;50;
fBrot_nd;1201;;;;50;
TcbhDfkB;1202;;;;25;
17smeyL0;1204;;;;45;
9cMI1sMR;1205;;2010-10-25;2060;50;Karuturi has leased 100,000 ha of land for 50 years
WD6JxWOX;1208;2010;2010-10-25;2060-10-25;50;
2D96gCVQ;1215;;;;45;
liXcRpyK;1217;;;;25;
Uf394tqE;1218;;2010-10-01;2035-09-30;25;Contract expires on 30:09:2035
6MjELQb5;1221;;2010-04-05;2035-04-01;25;
fiI2sXFK;1228;;;;50;
8tAsHik_;1230;;2007;2077;70;The contract was given for a period of 70 years
VyoNKtBV;1242;;2012-01-09;2037-01-09;25;
2nWbjhdJ;1244;;2010-09-29;;50;
EpEhz1RB;1252;;;;50;
V6nFCh4E;1274;;2012-08-24;2037-08-25;25;Lease can be renewed.
q3VIkHUG;1278;;2007-12-18;;;
97b2Uy1H;1285;;;;30;
1DV30wYY;1302;;2010-08-01;2035-07-30;25;
FaFiRx1g;1303;;2010-04-20;2060-04-19;50;Another source states duration is 25 years.
7pmXPtd2;1304;;2010-03-01;;50;
K129B4Je;1305;;;;20;
IR7x4h7Y;1306;;2010-11-25;;40;
REF01qUJ;1308;;2009-12-25;;50;
uQ389fd-;1320;;;;50;
IUpH7gKP;1321;;;;;Leased from the government.
hAwMr9xI;1322;;2011-11-04;2061;50;
6bN7HEGv;1323;;2008-01-01;;50;
PxCuqXok;1324;;2009;;50;
pv8W4-uz;1334;;;;50;
l3_9oK2c;1337;;;;50;
DwWmxaQL;1346;;1976-09-23;2026-09-22;50;Lease was signed on December 12, 1983 valid for 50 years starting from 23 September 1976 to 22 September 2026.
LQjCwFUq;1356;;2018;;25;
m8t36wvE;1359;;2010-09-16;;99;99 year lease for 8015ha with option to extend to 98400ha.
vzOKlHSD;1361;;;;20;
sToyGv7x;1362;;;;20;
6tO9l4eF;1363;;2009;;45;
yd0dlFmq;1374;;2003;2028;25;Duration of agreement from when contract first signed in 2003. It is not clear if the duration has been extended with the new lease transferred in 2019.
MkgxEXk_;1376;;;;99;
4vCNApz9;1388;;2009-07-23;2072-07-29;63;Another data source states 26:06:2009. Renewable for a further 30 years. The company, government and community are to review the agreement every 5 years.In 2009, the Liberian government granted a 63-year concession to the Malaysian Company, with a total land area of 311,187 hectares in the counties of Bomi, Cape Mount and Gbarpolu in Western Liberia and Bong in Central Liberia.  220,000 hectares of the amount is stipulated for the planting of oil palm.
Bb_6AsKB;1391;;2008-03-31;;33;
KHfN4qtR;1392;FMC-001;2008-10-06;2033-10-05;25;The contract was signed 6 October 2008 and approved 27-05-2009. Another source states contract expires 2024/05/26.
z5v53XxP;1393;;2008-08-06;2057;40;
D0aCLtxv;1395;;2008-05-22;2057;50;
CnIhGDlv;1396;;2010-07-01;;65;The contract is for 65 years until 2075, with an opportunity to extend the contract for a further 33 years until 2108.
Kdf4QiBN;1397;;2008;2028;20;
jbrSXmQX;1412;;2007;2017;10;The ten-year right of use obtained in 2007 by SMCTR
x6DgQv8P;1414;;;;50;
eePc9C_C;1419;;2012;2045;30;
C0sO8be4;1428;;2006;2031;25;"
"
gt2-G0vy;1454;;2012;2042;30;
eQ_Nl-U6;1460;;;;5;
MpVtKdtw;1464;;;;50;
ECuc6YRa;1467;;;;50;
6oxK76xm;1474;;;;50;
EmuYeVMD;1478;;2007-11-06;;30;
esAqzgWE;1481;;2006-11-13;;;
3ju-Jhgf;1488;;2009;;5;
uq_plghl;1498;;;;50;
3RKMGtbA;1499;;;;;Decree No. 07-141
hi53mwFq;1508;;2007;2047;40;
22jwVspP;1518;;;;30;
Siiukzf8;1545;;2011;;49;
mMvWUa32;1570;;;;50;
eeo4DHFs;1572;;;;50;
JyidBnec;1586;49/2004;2004;2054;50;
lmTH38Zo;1634;;;;50;
5d0AfFiN;1652;;;;50;
OLIKb3Uf;1669;;2008-12-17;;25;MOU
hZBqY8Fe;1683;;;;25;The land was acquired on the basis of a renewable 25-year lease
UgrgZtns;1687;356;2010-03-01;;99;This was signed by the State Governor Engr. Olusegun Oni and registered as No 12 at page 12 in volume 68 in the Land Registry Office at Ado Ekiti. Statutory Statutory Right Occupancy signed 1st day of March, 2010. certificate of occupancy (ELDM/356) dated 8th April 2010.
N9O_K3UE;1713;;;;50;
JegDbrAG;1715;;2011-07;;49;The agreement, which lasts for 49 year
gRzaO6Yb;1721;;2005;2045;40;
eC6lcKUI;1723;;2009-05;2057-04;48;
u3Uq2xpG;1725;;2012-08-01;2021-08-01;;The Company obtained in principle ratification of research certificate to prove ownership of benefits from that land for the Company to establish agricultural project on 01/08/2012G, and the initial contract period for the project will be valid for three years, extendable for further seven years.
e0nRhgYz;1732;;2002-05-22;2052;50;
f2-FDMot;1738;;;;70;
bqk9FST1;1742;;;;25;Concord Agriculture signed the lease directly with the Unity State government. The lease also offers “full irrigation rights”.
zmdfALfl;1752;;;;32;
cUQLu18z;1753;;;;32;
xCsh6CFS;1754;;;;99;
1s-eMtjo;1755;;2006;2038;32;Option to extend lease with further 32 years
meqL2sJN;1756;;;;30;
xaA2DvTh;1757;;2008-09-01;;49;
jdMkRa-K;1760;2007;2038;;32;"Another source mentions original contract signed in 2006. ""concessions were granted for a period of 32 years from 2006, with an option to extend for a further period of 32 years''"
yObk_akz;1766;;;;99;
HNxqI7cd;1782;;;;12;
ypK-pd0U;1794;;;;10;
H0-IWTdO;1798;;2010-04-09;;50;The land lease contract of Sunbird Bioenergy Sierra Leone needs to be renegotiated every seven years as required by the laws of Sierra Leone in Section 5 of the Provinces Land Act, Cap 122. Addax Bioenergy in Sierra Leone (ABSL) concluded three land lease agreements for 50 years with the chiefdom councils of Bombali Sebora, Makari Gbanti and Malal Mara in April 2010 and received a concession of 58,000 acres of land
gJe1xJgS;1806;ML01/2017;2017-03-29;2042-03-28;25;"Previously ML02/09 held by London Mining.
 It shall then be renewable for further periods of fifteen (15) years upon an application made in writing by SL MINING to the Minister at least one year before the expiration of the original term, and each 15 year term, as applicable in accordance with Section 112 of the Minerals Act."
2uO6nAbS;1810;;;;3;
TgTVP8cw;1812;;2009;2059;50;
1QA4vcMP;1846;;2009-01-09;;99;
X_vSnhCM;1851;;;;99;"Idete (Farm 900+901) issued 17 April 2009
Chogo (Farm 854) and Mapanda (Farm 837) issued 8 March 2004
Title deeds for the other areas are expected in financial year 2019/20"
bnnuqgBy;1854;;;;98;
fXQQl-4u;1862;;;;99;
DoKTrFoo;1872;;2008-07-01;2107-07-02;99;
eMk2RekJ;1889;;2006;;99;
StVGxS5r;1895;;2011-10-19;;99;
yidwNX_C;1902;;2011-10-01;;99;
p1wfiaYo;1910;;;;10;
WoaI6aIT;1963;;;;99;
W0bG2JnF;1969;;;;99;The initial project contract (FACE Foundation, 1992) stipulated that the project should reforest the 25,000 hectares of MENP that had been degraded throughout the tumultuous post-independence period – the land from which communities would soon be dispossessed.
9vpOc5A-;1976;;2002;;99;
YmRmhSdm;1978;;2009;2039;30;
4k8neTrZ;1984;;;;3;
4RkkpIIC;1992;;;;25;
eXaHNJcV;1999;;2009;2034;25;
zZdmuGPj;2006;;2010;2035;25;
SrwhA6oV;2009;;;;20;
ioYO8hRh;2010;;;;20;
Au1VI5xt;2017;;;;99;Renewable 99 year lease
vqo3E9Ki;2033;;;;99;
qUVlMtxY;2047;;2005;;35;
ED_T6yxX;2050;;2009;;99;
MqJaih0d;2053;;;;99;
jdbdap6h;2064;;2008-10-16;2048-10-16;40;Improrrogables
n7RTYEZF;2066;;2008-09-30;2048-09-30;40;
IJaliYeQ;2067;;2010-08-12;2050-08-12;40;
JMFa3aCS;2068;;2010-08-12;2050-08-12;40;
YU4x_KdU;2198;;;;30;Another article states 50 years.
e-4xzNfb;2199;;;;55;
wczE0m-D;2237;;2008-06-09;;25;Renewable for another 25 years
jSd6pKBU;2241;;;;50;In 2 periods of 25 years
d-lfKm-D;2249;;;;20;
smHqYtS5;2253;;;;99;
Uaa-MWPt;2254;;;;99;
vmFJ5Peg;2271;;;;50;
c4OpJyqq;2283;;;;25;
JQ99SQQL;2293;;2010;;30;
396VlgBo;2309;;2010;;99;
5mkfuPoO;2337;;;;30;renewable lease
EINks6oi;2342;;;;30;renewable
