ID;Deal ID;Spatial accuracy level;Location;Point;Facility name;Location description;Comment on location
m8DKqWrT;19;Approximate location;Memot, Cambodia;11.8302,106.17868;;;Kohthmor Village, Changkorm 1 Village, and Changkorm Kandal  Village in Tonlung commune, Memoth District, Kampong Cham Province
wVLM8Isn;20;Coordinates;Santuk, Cambodia;12.73169,105.10388;;;"Location: Santuk District, Kampong Thom Province. Coordinates: A:512216-1410027, A1:512214-1410909, B:518840-1410000, B1:518832-1410903,
B2:517450-1410000, B3:516000-1407000, B4:518832-1407000, C:518812-1400344,
D:502000-1400344, E:502000-1403183, F:510202-1403183, G:510202-1408305.
Shapefile source of contract area: https://opendevelopmentcambodia.net/dataset/?id=economiclandconcessions"
4Ym5zivO;22;Administrative region;Sihanoukville, Kambodscha;10.71624,103.77526;;;Chunks of beach front near Ream. (Koh Rung Sangleum)
8cmtvIy8;23;Coordinates;Phnom Sruoch, Cambodia;11.17647,104.29334;;;"Phnom Srouch, Kampong Speu Province 
Coordinates: A:414000-1231000, B:414500-1233000, C:416200-1233000, D:415800-1232100, E:416100-1232100, F:416900-1233000, G:417100-1233000, H:417800-1234500,
I:417800-1235000, J:418000-1235000, K:418000-1237000, L:419500-1238000,
M:420900-1238000, N:421100-1237900, O:4215000-1238100 P:421200-1238400,
Q:423100-1240000, R:424000-1240000, S:425100-1238500, T:425100- 1238100, U:425200-1238100, V:425200-1231500, W:425000-1231000; 

Shapefile source of contract area: https://opendevelopmentcambodia.net/dataset/?id=economiclandconcessions"
2VFXEwGr;24;Administrative region;Phnom Sruoch, Cambodia;11.31239,104.23959;;;Phnom Srouch, Kampong Speu Province
JtepYqXD;25;Administrative region;Kampong Speu​, Cambodia;11.61551,104.37919;;;"Oil palm areas are primarily in three provinces of mountainous relief along the  coastal  zone;  Kampong  Speu,  Koh  Kong,  and  Preah  Sihanouk
[source: https://www.forestpeoples.org/sites/fpp/files/publication/2011/11/chapter-2-palm-oil-development-cambodia.pdf page 77]"
kivE65eg;26;Exact location;Kampot Bay District, Cambodia;10.73749,104.25038;;;"Kampong Bay District, Kampot Province

*Coordinates
A:383623-1173993, B:386501-1176535, C:388045-1174068, D:391996-1169994,
E:404100-1170000, F:404773-1173411, G:407821-1175967, H:407790-1173264,
I:408005-1171876, J:421199-1183343, K:420387-1183689, L:420755-1186002,
M:416999-1186001, N:417000-1187004, O:406003-1187007, P:405999-1189993,
Q:403448-1199315, R:415372-1190751, S:422493-1184166"
nmXKbLsy;27;Exact location;Sambo District, Cambodia;12.77423,105.96491;;;"Sambo District, Kratie Province
Coordinates from deleted LO deal duplicate:
12.913430850463845
106.07072545576293"
NyEeq3Dv;28;Exact location;Steung Treng District, Steung Treng Province,Cambodia;13.57647,105.96999;;;Stung Treng District, Stung Treng Province
zuHuhQ0o;29;Approximate location;Sambo district, Kratié, Cambodia;12.86063,105.96999;;;"Sambo District, Kratie Province
Coordinates from deleted LO deal duplicate:
13.148070145116025
106.09233042249603"
_DasuDa7;30;Administrative region;Phnom Sruoch, Cambodia;11.31239,104.23959;;;Phnom Srouch, Kompou Speu
tcDaR0Bp;32;Exact location;Samrong district, Oddar Meancheay, Cambodia;14.31203,103.72752;;;"Location: Samrong District, Uddor Meanchey Province.

Coordinates: A:358000-1580000, B:358000-1588000, C:366000-1588000, D:370000-1586000,
E:372000-1586000, F:372000-1580000."
lNHW3LTd;33;Coordinates;Kratié, Cambodia;12.00031,106.4248;;;"Kratie province, Snoul district, Meancheay, Krobai Cholroung, Kbal Lumpov and
Dey Krahom; 
Shapefile source of contract area: https://opendevelopmentcambodia.net/dataset/?id=economiclandconcessions"
6karTci4;34;Approximate location;Pechreada District, Mondulkiri, Cambodia;12.45065,107.54001;;;Pechreada District, Mondulkiri Province
qzCUjh4l;35;Exact location;Sambo District, Kratié, Cambodia;12.86063,105.96999;;;Location: Srechis commune, Sambo district, Kratie province. Coordinates: A:663513-1428092, B:663508-1418000, C:672000-1418000, D:672000-1419000, E:672628-1419000, F:673327-1428092.
RzzErcSx;36;Administrative region;Pu Chrey, Cambodia;12.68778,107.21677;;;"Pu Chrey, Krang Teh and Sre Ampum Communes, Pechreada District, Mondulkiri Province

Coordinates: A:745957-1400710, B:752081-1400710, C:752081-1396339, D:750000-1392000,
E:745202-1392000, F:743994-1392605, G:744000-1396000, H:745000-1396000,
I:745000-1397002, J:745956-1398836"
OLBEcdyt;36;Administrative region;Khum Krang Teh, Cambodia;12.72146,107.4322;;;
PTNhKUXq;36;Administrative region;Srae Ampum, Pech Chenda, Cambodia;12.70546,107.0067;;;
xUy1dOKO;37;Exact location;Thmey Communes,Kratié, Cambodia;12.86063,105.96999;;;"Thmey and Kantuot Communes, Kratie District, Kratie Province / 
A:638000-1372007,
B:642000-1370900, 
C:644048-1374022, 
D:642950-1380692,
E:643007-1379800,
F:639590-1371841, 
G:643864-1373809, 
H:638500-1381800,
I:645602-1380620,"
8N1Yr6SD;37;Exact location;Kantuot Commune, Kratie District, Kratie Province, Cambodia;14.235,104.73792;;;"For your review.
LM Website shows that the investor is Doty-Saigon Binh Phouc. The cartodb_id number 170 has Dau Tu Saigon-Binh Phuoc (SBK) as investor with the same land area of 6436."
-npBLcHh;38;Exact location;Chhouk District, Kampot province.;11.02908,104.17247;;;"Chhouk District, Kampot Province
Coordinates from deleted LO deal duplicate:
10.985149134307287
104.17589129424064"
ZXyv2N-T;39;Administrative region;Phnom Sruoch, Samrong Oral Districts, Cambodia;11.32608,104.23478;;;"Phnom Srouch, Samrong and Oral Districts, Kampong Speu Province
Coordinates from deleted LO deal duplicate:
11.575272107170838
104.23685859627895"
qtfrpXjG;39;Approximate location;Samrong, Cambodia;11.28629,104.72366;;;
-xKQZOL9;40;Administrative region;Koh Russei, Bamboo Island, Cambodia;10.49615,103.5596;;;Koh Russei and Koh Ta Kiev
N-exay9V;40;Administrative region;Koh Ta Kiev, Cambodia;10.48772,103.59576;;;
DOBJ8OHN;42;Coordinates;Stung Treng, Stung Treng, Cambodia;13.73665,106.06614;;;"Stung Treng District, Stung Treng Province; 
Shapefile source of contract area: https://opendevelopmentcambodia.net/dataset/?id=economiclandconcessions"
ILVjv4iW;43;Administrative region;Sambo District, Kratie Province, Cambodia;12.77414,105.96492;;;Sambo District, Kratie Province
m2X2hZul;44;Exact location;Oyadao District, Ratanak Kiri, Cambodia;13.67876,107.45389;;Oyadao District, Ratanakiri Province;
w-X_n896;45;Exact location;Prasat Sambour, Cambodia;12.86418,105.17268;;;Tumnob, Sraeung and Thmei, Prasat Sambour
f81dPp0X;45;Exact location;Santuk, Cambodia;12.63251,105.31312;;;Ta Menh, Trapeang Pring and Sopheak Mongkol, Santuk
UGQEHPmQ;46;Exact location;Treng Tra Yoeng Commune,Phnom Sruoch, Cambodia;11.31239,104.23959;;;Treng Tra Yoeng Commune, Phnom Srouch District, Kampong Speu Province
QPtMBTZm;48;Exact location;Se San District, Stung Treng, Cambodia;13.57647,105.96999;;;Se San District, Stung Treng Province
dgL0-Iyq;49;Administrative region;Phnum Sruoch, Cambodia;13.0075,106.15306;;;"Phnom Srouch and Oral Districts (Phnom Aural), Kampong Speu Province
Coordinates from deleted LO deal duplicate:
11.548468749612711
104.13124145528366"
nZwB1CkW;49;Administrative region;Phnom Aural, Cambodia;12.0325,104.17083;;;Phnom Srouch and Oral Districts (Phnom Aural), Kampong Speu Province
XR2uACAr;50;Exact location;Sambour District, Cambodia;13.32178,106.12527;;;Sambo District, Kratie Province
XYuezcWR;51;Administrative region;Kratié, Cambodia;13.11896,106.26652;;;"Sambo District, Kratie Province
Coordinates from deleted LO deal duplicate:
13.115313130146212
106.26663833731335"
EVaNEvDM;52;Approximate location;Sambour District, Cambodia;12.90281,106.29576;;;"Sambo District, Kratie Province
Coordinates from deleted LO deal duplicate:
12.899309701506425
106.30264777958615"
ypp1v-jz;53;Approximate location;Boutum Sakor National Park, Cambodia;11.09427,103.22018;;;"Koh Kong Province, Boutum Sakor National Park
Coordinates from deleted LO deal duplicate:
11.393177566422537
103.12431515670974"
nMs0UOpp;54;Exact location;Siem Pang, Cambodia;13.99387,106.44059;;;Siem Pang and Stung Treng Districts, Stung Treng Province
OpUo8s9a;54;Exact location;Stung Treng, Cambodia;13.57647,105.96999;;;
txYAOmSC;55;Administrative region;Santuk, Cambodia;12.63251,105.31312;;;Santuk District, Kampong Thom Province
m1l90lep;56;Administrative region;Phnom Sruoch, Cambodia;11.31239,104.23959;;;Phnom Srouch district, Kompong Speu province
y7YwpBv-;57;Coordinates;Andong Meas, Ratanak Kiri, Cambodia;13.87552,107.20948;;;Andong Meas District, Ratanakiri Province
S-8ZfbV5;59;Coordinates;Oyadao District, Ratanak Kiri, Cambodia;13.58947,107.45016;;;Oyadao District, Ratanakiri Province
6kSrxtMA;60;Administrative region;Srae Ambel, Cambodia;11.11759,103.7434;;;Sre Ambel
vn-VXhWJ;61;Administrative region;Cardamom Mountains, Cambodia;12.0,103.25;;;
Jjo_RqUD;62;Exact location;Chi Kraeng, Cambodia;13.18198,104.33264;;;Chi Kreng and Svay Loe Districts, Siem Reap Province
N1CEzl50;62;Exact location;Svay Loe Districts, Siem Reap Province;;;;
u8XO3dnY;63;Administrative region;Kampong Speu​, Cambodia;11.61551,104.37919;;;"Kompong Speu
Coordinates from deleted LO deal duplicate:
11.884699999999983
104.162"
hhgnE8QZ;64;Administrative region;Kuleaen, Cambodia;13.81719,104.69668;;;Koulen district, Preah Vihear province
XRvS7sTh;65;Exact location;Vensay District, Ratanak Kiri, Cambodia;13.87384,106.84649;;Vensay District, Ratanakiri Province;
5Txr2D_R;67;Coordinates;Botum Sakor, Cambodia;11.21677,103.5987;;;Botomsakor District, Koh Kong Province
bJYS9Bhk;68;Coordinates;Srae Ambel, Cambodia;11.25416,103.72649;;;Sre Ambil District, Koh Kong Province
k-FiND1p;69;Country;Cambodia;12.56568,104.99096;;;
zoIIxQSP;70;Administrative region;Mondol Kiri, Cambodia;12.78794,107.10119;;;"Chong Plas Commune, Keoseyma District and Pu Chry Commune, Pechreada District,
Mondulkiri Province"
xpnTbrUo;71;Exact location;Kamreang Village, Takrey Commune,Battambang, Cambodia;13.0287,102.98961;;;"Kamreang Village, Takrey Commune, Battambang Province
Coordinates from deleted LO deal duplicate:
13.10797037321149
102.59747794891948"
frsMoqVH;72;Country;Cambodia;12.56568,104.99096;;;Central Cambodia
La435iG-;73;Administrative region;Oddar Meancheay, Cambodia;14.17172,103.63627;;;"Kreal commune, Samrong district,
Oddar Meanchey province.
Coordinates from deleted LO deal duplicate:
14.147882852717455
103.60656261444531"
kAGHnDx1;74;Administrative region;Santuk, Cambodia;12.63251,105.31312;;;Santuk District, Kampong Thom Province
yg-ZICC2;75;Exact location;Krong Kracheh, Cambodia;12.48969,106.02875;;;"Kratie District, Kratie Province
Coordinates from deleted LO deal duplicate:
12.69171713532672
106.22520760116126"
Dz7eWdCd;76;Administrative region;Memot, Cambodia;11.82694,106.18278;;;Memut District, Kampong Cham Province
6hZg-dap;77;Administrative region;Ratanak Kiri, Cambodia;13.83157,106.84485;;;"Vensay District, Ratanakiri Province
"
J3RZvgHY;78;Administrative region;Memot, Cambodia;11.82694,106.18278;;;Memot District, Kampong Cham Province
Wjj-s6xU;79;Coordinates;Mondol Kiri, Cambodia;13.05338,106.62018;;;"Koh Nhek District, Modulkiri Province; 
Shapefile source of contract area: https://opendevelopmentcambodia.net/dataset/?id=economiclandconcessions"
H--UdPLR;80;Coordinates;Krong Preah Sihanouk, Cambodia;10.84844,103.82555;;;"Prey Nup District, Sihanoukville Municipality; 
Shapefile source of contract area: https://opendevelopmentcambodia.net/dataset/?id=economiclandconcessions"
U659SI_8;81;Coordinates;Krong Preah Sihanouk, Cambodia;10.70371,103.7927;;;Prey Nup District, Sihanoukville Municipality
sNvizDT7;82;Exact location;Andong Meas District, Ratanak Kiri, Cambodia;13.85766,107.10119;;;Andong Meas District, Rattanakiri Province
1WsOkl58;83;Coordinates;Snoul District, Kratie Province;12.33344,106.34502;;;"Snoul District, Kratie Province; 
Shapefile source of contract area: https://opendevelopmentcambodia.net/dataset/?id=economiclandconcessions

Uploaded cartodb_id number 5."
IzdJ-78Z;84;Administrative region;Kaun Moum, Cambodia;13.60909,106.81784;;;Koun Mom district, Ratanakiri province
ep8k2pwm;85;Administrative region;Sameakki Mean Chey, Cambodia;11.83029,104.51892;;;Baribor, Tekphos and Sammakki Meanchey Districts, Kampong Chhnang Province.
lstGmode;85;Administrative region;Krakor, Cambodia;12.53226,104.21053;;;Kra Kor, Kra Vanh and Sampov Meas Districts, Pursat Province
MPMLItx8;88;Approximate location;Omlaing, Kampong Speu​, Cambodia;11.61551,104.37919;;;"Omlaing commune, Kampong Speu province
Coordinates from deleted LO deal duplicate:
11.826068628214792
104.26638435308969"
dhRe3dj7;89;Exact location;Se San District, Stung Treng Province Cambodia;13.57647,105.96999;;;"Se San District, Stung Treng Province
Coordinates from deleted LO deal duplicate:
13.593856146469607
106.40185748045558"
m_5imre9;90;Administrative region;Kratié, Cambodia;12.86063,105.96999;;;Sambo district, Kratie Province
rVTqbJ7p;92;Exact location;Krakor, Cambodia;12.45134,104.17235;;;Krakor District, Pursat Province
t1Iuc5aZ;93;Coordinates;Samlot, Cambodia;12.54341,102.77902;;;"Samlot District, Battambang Province; 
Shapefile source of contract area: https://opendevelopmentcambodia.net/dataset/?id=economiclandconcessions"
oTUUGW0m;94;Coordinates;Sesan, Cambodia;13.4101,106.4913;;;"Sesan District, Stung Treng Province
Coordinates from deleted LO deal duplicate:
13.410099999999995
106.49130000000001"
Cr4fds1q;95;Administrative region;Chong Kal, Cambodia;13.95256,103.57117;;;"Pong Ro and Chongkal Communes, Chongkal District, Uddor Meanchey Province
Coordinates from deleted LO deal duplicate:
14.061643067977027
103.69273662567169"
Sj4NxM7d;96;Exact location;Se San District, Stung Treng, Cambodia;13.57647,105.96999;;;Se San District, Stung Treng Province
LZQAmL7a;97;Exact location;Varin, Cambodia;13.86927,103.83093;;;"Varin District, Siem Reap Province and Anlong Veng District, Uddor Meanchey
Province
Location comment: Shp file is on the border of Uddor Meanchey and Siem Reap"
nh2VbWvz;97;Exact location;Anlong Veng, Cambodia;14.23333,104.08333;;;"Varin District, Siem Reap Province and Anlong Veng District, Uddor Meanchey
Province"
Usc0uz__;98;Coordinates;Mondol Kiri, Cambodia;12.67232,106.55954;;;"Chong Plas Commune, Keoseyma District and Pu Chry Commune, Pechreada District,
Mondulkiri Province; 
Shapefile source of contract area: https://opendevelopmentcambodia.net/dataset/?id=economiclandconcessions"
i8ZvN5T_;99;Exact location;Siem Pang, Cambodia;13.99387,106.44059;;;"Siem Pang District, Stung Treng Province
Coordinates from deleted LO deal duplicate:
14.323774719486263
106.26216729011824"
gYj4I5m-;100;Administrative region;Kampong Speu​, Cambodia;11.61551,104.37919;;;Oral district
lrUnTOFC;101;Exact location;Se San, Stung Treng, Cambodia;13.5583,106.10033;;;Se San District, Stung Treng Province
CUCdndkt;102;Exact location;Se San, Stung Treng, Cambodia;13.5583,106.10033;;;"Se San, Stung Treng, Cambodia
Coordinates from deleted LO deal duplicate:
13.458843041413578
106.23288747579979"
TCcdZ-CZ;103;Exact location;Chi Kraeng, Cambodia;13.18198,104.33264;;;Chi Kreng District, Siem Reap Province
QMWZRwU1;104;Exact location;Kbal Damrei, Cambodia;12.905,105.39143;;;Kbal Damrei Commune, Sambo District, Kratie Province.
EOmmkqtI;105;Exact location;Krâya, Cambodia;13.11667,104.76667;;;Kraya Commune, Santuk District, Kampong Thom Province
hN4jv86L;106;Administrative region;Mondol Kiri, Cambodia;12.78794,107.10119;;;Chong Phlah, Srae Chhuk commune, Keo seima district, Mondulkiri province
VG7m4BjZ;107;Administrative region;Snuol, Cambodia;12.07635,106.42734;;;Chong Phlah, Srae Chhuk commune, Snuol, Kaev Seima district, Mondulkiri, Kratie province.
tFoLmGKl;108;Coordinates;Rovieng, Cambodia;13.37043,105.29503;;;"Roveang District, Preah Vihear Province; 
Shapefile source of contract area: https://opendevelopmentcambodia.net/dataset/?id=economiclandconcessions"
UHzj6ing;109;Administrative region;Kratié, Cambodia;12.86063,105.96999;;;"Location: Kratie District, Kratie Province. Coordinates: A:625557-1406000, B:626144-1408365, C:628187-1408377, D:628199-1410000,
E:6629828-1410000, F:629828-1408475, G:632797-1408477, H:632798-1410961,
I:630006-1412066, J:630006-1412066, K:634548-1413966, L:635479-1413573,
M:637213-1413968, N:638057-1413537, O:639008-1413413, P:638721-1411698,
Q:641017-1410581, R:641000-1405982."
0y-ILx9T;110;Exact location;Memot, Cambodia;11.82694,106.18278;;;Memot District, Kampong Cham Province
leySrQo5;111;Administrative region;Phnom Sruoch, Cambodia;11.31239,104.23959;;;Phnom Srouch District, Kampong Speu Province
EKHwarGe;112;Coordinates;Mondol Kiri, Cambodia;13.05691,106.71658;;;"Ro Yar Commune, Koh Nhek District, Mondulkiri Province; 
Shapefile source of contract area: https://opendevelopmentcambodia.net/dataset/?id=economiclandconcessions"
D4I7uGDl;113;Administrative region;Sesan, Cambodia;13.50368,106.39348;;;"Sesan District, Stung Treng Province
Coordinates from deleted LO deal duplicate:
13.412689090915356
106.56640750908055"
8czqlYXh;114;Exact location;Memot, Cambodia;11.82694,106.18278;;;Memot District, Kampong Cham Province
VxnViDIc;116;Administrative region;Chhuk, Cambodia;10.83597,104.45777;;;"Chhouk District, Kampot Province
Coordinates from deleted LO deal duplicate:
10.897170729869364
104.17520464872631"
l2jeNpJC;117;Approximate location;Orang, Mondulkiri, Cambodia;12.78794,107.10119;;;"Orang and Senmonorom Districts, Mondulkiri Province
Coordinates from deleted LO deal duplicate:
12.37117924492631
107.2269010543823"
ahcpP4PQ;117;Approximate location;Senmonorom District, Mondulkiri Province;;;;
4_i7gvy3;127;Administrative region;Phnum Sruoch, Cambodia;11.26417,104.60417;;;Phnom Srouch district, Kompong Speu province
DHAxeOXf;128;Administrative region;Phnum Sruoch, Cambodia;13.0075,106.15306;;;Aural & Phnom Srouch district, Kompong Speu province
EK1N63N6;128;Administrative region;Phnom Aural, Cambodia;12.0325,104.17083;;;
suOq21iz;129;Exact location;Uddor Meanchey, Samrong;14.2536,103.63219;;;"Oddar Meanchey, Samrong
Coordinates from deleted LO deal duplicate:
14.360511775401516
103.55403423309768"
viJbuwf9;130;Administrative region;Kratié, Cambodia;12.86063,105.96999;;;
8POErxUe;131;Administrative region;Yunnan, Volksrepublik China;25.04535,102.70994;;;"Shuangbai county (Chuxiong Prefecture); Yongren County (Chuxiong Prefecture); Quibei County; Huize County (Qujing Prefecture)"
g32B_wPB;131;Administrative region;Yongxing Township Enterprise Audit Firm, Daqiao Road, Yongxing, Chenzhou, Hunan, China;26.12488,113.11795;;;
8EhgIQI1;135;Administrative region;Laiyang, Yantai, Shandong, Volksrepublik China;36.97891,120.71161;;;Shandong
Lu3WPQGs;140;Approximate location;Animha, Merauke Regency, Papua, Indonesia;-7.87331,140.43082;;;
lAJfNqu8;144;Administrative region;Nanning, Guangxi, China;22.817,108.36654;;;"Guangxi autonomous region, Hepu county
Coordinates: 21.667639, 109.193115"
5tiHqkMA;144;Administrative region;Qin Lian Jie, Qinnan Qu, Qinzhou Shi, Guangxi Zhuangzuzizhiqu, China;21.9478,108.65383;;;
8I7Kww-5;144;Administrative region;Yulin, Guangxi, China;22.63638,110.16476;;;
-urVQm_8;146;Administrative region;Yunnan, Volksrepublik China;25.04535,102.70994;;;Yunnan province, Langyong County, townships: Wafan, Wadu, Mongkuan,Bingma, pupiao
0lcKXp1l;147;Coordinates;Huanjiang County, Guangxi Autonomous Region;24.81167,108.4021;;;"Guangxi autonomous region, Huanjiang County; Cangwu County
Coordinates: 24.811668, 108.4021"
lHT6EpkD;147;Administrative region;Cangwu County, Guangxi Autonomous Region;;;;
IOEyn0YS;148;Administrative region;Gaoligong Mountain, Tengchong, Baoshan, China;25.46255,98.76504;Sujiang Forestry Farm;;Yunnan province, Tengching County, townships: Qushi, Jietou, Hougiao
GBowbVQ-;150;Administrative region;Beichuan, Mianyang, Sichuan, China;31.6172,104.46817;;;all in all 28 villages
lUez0ktG;150;Administrative region;Lixian, Aba, Sichuan, China;31.43647,103.16685;;;
FVRDwQ-f;150;Administrative region;Maoxian, Aba, Sichuan, China;31.68115,103.85352;;;
_8iFg2Lg;150;Administrative region;Pingwu, Mianyang, Sichuan, China;32.40866,104.52907;;;
1QlgKThK;150;Administrative region;Qingchuan, Guangyuan, Sichuan, China;32.58426,105.23819;;;
opyqv7Ng;151;Administrative region;Jiangsu, China;32.06171,118.76323;;;
H5C3nA-F;151;Administrative region;Fujian, China;26.09993,119.29651;;;
n6-ugfIv;151;Administrative region;Jilin, China;43.83788,126.54957;;;
MVSAB1r2;151;Administrative region;Hebei, China;38.03706,114.46866;;;
uBc_q1Qv;151;Administrative region;Hubei, China;30.54586,114.34192;;;
_xlSwNZj;151;Administrative region;Shaanxi, China;34.26547,108.95424;;;
-CaTK3z7;151;Administrative region;Hunan, China;28.11244,112.98381;;;
C4MoYTlg;151;Administrative region;Shandong, China;36.66863,117.02041;;;company has 30 production bases across China
rjAUmHEg;151;Administrative region;Tianjin, China;39.08416,117.20098;;;
-nzJt0gu;152;Administrative region;Jiangxi, China;28.67443,115.90891;;;
N4mPAjBx;152;Administrative region;Sichuan, China;30.65123,104.07588;;;
AkfXgtBa;152;Administrative region;Jiangsu, China;32.06171,118.76323;;;
75uNmr3K;152;Administrative region;Heilongjiang, China;45.74235,126.66167;;;
zAOLPfFj;152;Administrative region;Liaoning, China;41.83544,123.42944;;;
M_MsWHWH;152;Administrative region;Jilin, China;43.89608,125.32606;;;
aRCsgt2O;152;Administrative region;Anhui, China;31.86112,117.2849;;;
_JG_ucmS;152;Administrative region;Hunan, China;28.11245,112.98381;;;
9rGizuX0;152;Administrative region;Hubei, China;30.54656,114.34174;;;
9c23OzVp;152;Administrative region;Ningxia, China;38.47132,106.25875;;;
MToAfsbA;154;Administrative region;Shunyi District, Beijing, China;40.13035,116.65465;;;
QzRX5FJb;155;Administrative region;Guangdong, China;23.37903,113.76328;;;
aJNSGZ_L;156;Administrative region;Cova Lima, Timor-Leste;-9.26504,125.2588;;;
fqWthyfW;156;Administrative region;Lospalos, Timor-Leste;-8.51667,127.0;;;
HkaQRT6A;156;Administrative region;Baucau, Timor-Leste;-8.46667,126.45;;;
d-xd1hxa;156;Administrative region;Viqueque, Timor-Leste;-8.8575,126.36472;;;
RyF8Tk7Y;161;Administrative region;Papua, Republik Indonesien;-4.3545,139.36531;;;"Sangau district (West Kalimantan)
Coordinates: 0.175781, 110.610352"
8a8O1cND;161;Approximate location;East Kalimantan, Indonesia;1.64063,116.41939;;;
rPkXrSyp;162;Approximate location;Kuala Tanjung, Sumatra, Republik Indonesien;-0.58972,101.34311;;;Sumatra, Kuala Tanjung
_hX4-Kl7;163;Administrative region;Sumatra, Republik Indonesien;-0.58972,101.34311;;;
KidNaEdd;164;Administrative region;Kalimantan, Indonesia;1.06824,114.23354;;;
KaTQs1wk;164;Administrative region;Sumatra, Republik Indonesien;-0.58972,101.34311;;;
GF2icxoQ;165;Administrative region;Paleleh, Republik Indonesien;1.0146,121.97499;;;
uQl1lRh8;165;Administrative region;Bunobogu, Republik Indonesien;1.02019,121.65779;;;
RChjSl5b;168;Administrative region;Kotabaru Regency, South Kalimantan, Indonesia;-3.00298,115.9468;PT Bumi Raya Investindo;oil palm plantation;
3p4h0dhP;172;Administrative region;Kalimantan Barat, Republik Indonesien;-0.27878,111.47529;;;
Swr0g3DL;173;Administrative region;Kalimantan, Republik Indonesien;-0.27878,111.47529;;;
rrhDguzH;174;Country;Republik Indonesien;-0.78927,113.92133;;;
bOvpwPGE;178;Administrative region;Sumatra, Indonesien;-0.58972,101.34311;;;
QAiZcahG;178;Administrative region;Kalimantan Barat, Indonesien;-0.27878,111.47529;;;
zzBAVOWa;178;Administrative region;Kalimantan Tengah, Indonesien;-1.68149,113.38235;;;
FQQ9kPPl;180;Administrative region;Kalimantan Tengah, Republik Indonesien;-1.68149,113.38235;;;
n1FpmzNw;181;Administrative region;Central Sulawesi, Indonesia;-1.43003,121.44562;;;Province Central Sulawesi, Buol Coordinates: -1.801461, 120.563965
jO8zBF_c;182;Administrative region;West Kalimantan, Indonesia;-0.27878,111.47529;;;Minamas estates in West Kalimantan: Awatan, Beturus, East, Kelampai, Lembiru, Pelanjau, Mas 1 – 3, Sei Mawang, Sungai Putih, West.
HSHaw2bn;185;Administrative region;Sanggau, Republik Indonesien;0.11928,110.5973;;;Province Kalimantan Barat (West of Kalimantan), Sangau
9ZDAqd5A;187;Administrative region;East Kalimantan, Indonesia;1.64063,116.41939;;;
jdBDFs7Z;188;Coordinates;Kapuas Hulu, Kapuas Regency, Central Kalimantan, Indonesia;-0.84194,114.08;Golden Hill Oil Mill;;Golden Hill Oil Mill is the processing plant of PT Dwie Warna Karya and is located in the plantation area. Coordinates taken from Uniliver's Oil Mill List for year 2017
